#NTIMES: 200
#NSTAGES: 7
#TIMES[d]: 0.9869 1.0089 1.0313 1.0543 1.0778 1.1018 1.1263 1.1514 1.1771 1.2033 1.2301 1.2575 1.2855 1.3142 1.3434 1.3734 1.4039 1.4352 1.4672 1.4999 1.5333 1.5674 1.6024 1.6381 1.6745 1.7118 1.7500 1.7890 1.8288 1.8696 1.9112 1.9538 1.9973 2.0418 2.0873 2.1338 2.1813 2.2299 2.2796 2.3303 2.3823 2.4353 2.4896 2.5450 2.6017 2.6597 2.7189 2.7795 2.8414 2.9047 2.9694 3.0356 3.1032 3.1723 3.2430 3.3152 3.3891 3.4646 3.5417 3.6206 3.7013 3.7837 3.8680 3.9542 4.0423 4.1323 4.2244 4.3185 4.4147 4.5130 4.6135 4.7163 4.8214 4.9288 5.0386 5.1508 5.2655 5.3828 5.5028 5.6253 5.7506 5.8787 6.0097 6.1436 6.2804 6.4203 6.5633 6.7096 6.8590 7.0118 7.1680 7.3277 7.4909 7.6578 7.8284 8.0028 8.1810 8.3633 8.5496 8.7400 8.9347 9.1337 9.3372 9.5452 9.7578 9.9752 10.1974 10.4246 10.6568 10.8942 11.1368 11.3849 11.6385 11.8978 12.1628 12.4338 12.7108 12.9939 13.2834 13.5793 13.8818 14.1910 14.5071 14.8303 15.1606 15.4983 15.8436 16.1965 16.5573 16.9261 17.3032 17.6886 18.0827 18.4855 18.8973 19.3182 19.7486 20.1885 20.6382 21.0979 21.5679 22.0484 22.5395 23.0416 23.5549 24.0796 24.6160 25.1644 25.7249 26.2980 26.8838 27.4826 28.0949 28.7207 29.3605 30.0145 30.6831 31.3666 32.0654 32.7796 33.5098 34.2563 35.0194 35.7995 36.5970 37.4122 38.2456 39.0976 39.9685 40.8589 41.7690 42.6995 43.6507 44.6230 45.6171 46.6332 47.6720 48.7340 49.8196 50.9294 52.0639 53.2236 54.4093 55.6213 56.8603 58.1269 59.4218 60.7455 62.0986 63.4819 64.8961 66.3417 67.8195 69.3303 70.8747 72.4535 74.0675 75.7174 77.4041 79.1284
#
#TIME: 0.9869
#NVEL: 115
#vel_mid[km/s] mg0 mg1 mg2 mg3 mg4 mg5 mg6
5.2292e+04 8.5384e-03 9.9146e-01 7.2950e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.3596e+04 6.4198e-03 9.9358e-01 9.2552e-14 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.4921e+04 4.8155e-03 9.9518e-01 1.1787e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.6265e+04 3.6060e-03 9.9639e-01 1.5042e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.7622e+04 2.6986e-03 9.9730e-01 1.9221e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5.8985e+04 2.0276e-03 9.9797e-01 2.4447e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.0341e+04 1.5291e-03 9.9847e-01 3.1047e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.1676e+04 1.1660e-03 9.9883e-01 3.8981e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.2975e+04 8.9789e-04 9.9910e-01 4.8580e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.4219e+04 7.0226e-04 9.9930e-01 5.9755e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.5388e+04 5.5997e-04 9.9944e-01 7.2275e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.6461e+04 4.5641e-04 9.9954e-01 8.5740e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.7422e+04 3.8124e-04 9.9962e-01 9.9645e-13 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.8257e+04 3.2693e-04 9.9967e-01 1.1325e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.8960e+04 2.8768e-04 9.9971e-01 1.2611e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9475e+04 2.5985e-04 9.9974e-01 1.3717e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6.9758e+04 2.4878e-04 9.9975e-01 1.4211e-12 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
