#NTIMES: 257
#TIMES[d]: 2.200 2.420 2.662 2.928 3.221 3.543 3.897 4.287 4.716 5.187 5.706 6.277 6.905 7.595 8.354 9.190 10.109 11.109 12.109 13.109 14.109 15.109 16.109 17.109 18.109 19.109 20.109 21.109 22.109 23.109 24.109 25.109 26.109 27.109 28.109 29.109 30.109 31.109 32.109 33.109 34.109 35.109 36.109 37.109 38.109 39.109 40.109 41.109 42.109 43.109 44.109 45.109 46.109 47.109 48.109 49.109 50.109 51.109 52.109 53.109 54.109 55.109 56.109 57.109 58.109 59.109 60.109 61.109 62.109 63.109 64.109 65.109 66.109 67.109 68.109 69.109 70.109 71.109 72.109 73.109 74.109 75.109 76.109 77.109 78.109 79.109 80.109 81.109 82.109 83.109 84.109 85.109 86.109 87.109 88.109 89.109 90.109 91.109 92.109 93.109 94.109 95.109 96.109 97.109 98.109 99.109 100.109 101.109 102.109 103.109 104.109 105.109 106.109 107.109 108.109 109.109 110.109 111.109 112.109 113.109 114.109 115.109 116.109 117.109 118.109 119.109 120.109 121.109 122.109 123.109 124.109 125.109 126.109 127.109 128.109 129.109 130.109 131.109 132.109 133.109 134.109 135.109 136.109 137.109 138.109 139.109 140.109 141.109 142.109 143.109 144.109 145.109 146.109 147.109 148.109 149.109 150.109 151.109 152.109 153.109 154.109 155.109 156.109 157.109 158.109 159.109 160.109 161.109 162.109 163.109 164.109 165.109 166.109 167.109 168.109 169.109 170.109 171.109 172.109 173.109 174.109 175.109 176.109 177.109 178.109 179.109 180.109 181.109 182.109 183.109 184.109 185.109 186.109 187.109 188.109 189.109 190.109 191.109 192.109 193.109 194.109 195.109 196.109 197.109 198.109 199.109 200.109 201.109 202.109 203.109 204.109 205.109 206.109 207.109 208.109 209.109 210.109 211.109 212.109 213.109 214.109 215.109 216.109 217.109 218.109 219.109 220.109 221.109 222.109 223.109 224.109 225.109 226.109 227.109 228.109 229.109 230.109 231.109 232.109 233.109 234.109 235.109 236.109 237.109 238.109 239.109 240.109 241.109 242.109 243.109 244.109 245.109 246.109 247.109 248.109 249.109 250.109 
#
#TIME: 2.200000
#NVEL: 81
#vel_mid[km/s] Rossmean[cm^2/g] Fluxmean[cm^2/g] Planckmean[cm^2/g] Jcmf[erg/s/cm^2] Hcmf[erg/s/cm^2]
3.475e+09 1.423367e-02 1e-99 3.095807e-01 1e-99 1e-99
3.525e+09 1.364569e-02 1e-99 3.310285e-01 1e-99 1e-99
3.575e+09 1.395600e-02 1e-99 4.017456e-01 1e-99 1e-99
3.625e+09 1.428851e-02 1e-99 5.033382e-01 1e-99 1e-99
3.675e+09 1.408182e-02 1e-99 5.605720e-01 1e-99 1e-99
3.725e+09 1.421112e-02 1e-99 6.724315e-01 1e-99 1e-99
3.775e+09 1.427369e-02 1e-99 7.874179e-01 1e-99 1e-99
3.825e+09 1.420340e-02 1e-99 9.156048e-01 1e-99 1e-99
3.875e+09 1.342693e-02 1e-99 9.872961e-01 1e-99 1e-99
3.925e+09 1.402145e-02 1e-99 1.228417e+00 1e-99 1e-99
3.975e+09 1.238607e-02 1e-99 1.273501e+00 1e-99 1e-99
4.025e+09 1.054001e-02 1e-99 1.410690e+00 1e-99 1e-99
#TIME: 2.662000
#NVEL: 81
#vel_mid[km/s] Rossmean[cm^2/g] Fluxmean[cm^2/g] Planckmean[cm^2/g] Jcmf[erg/s/cm^2] Hcmf[erg/s/cm^2]
2.500e+07 4.609395e-01 1e-99 4.999909e-01 1e-99 1e-99
7.500e+07 5.511751e-01 1e-99 6.001384e-01 1e-99 1e-99
1.250e+08 6.497874e-01 1e-99 7.137369e-01 1e-99 1e-99
1.750e+08 7.678618e-01 1e-99 8.494735e-01 1e-99 1e-99
2.250e+08 9.075413e-01 1e-99 1.009606e+00 1e-99 1e-99
2.750e+08 1.069158e+00 1e-99 1.195684e+00 1e-99 1e-99
3.250e+08 1.256324e+00 1e-99 1.412702e+00 1e-99 1e-99
3.750e+08 1.466436e+00 1e-99 1.660914e+00 1e-99 1e-99
4.250e+08 1.693744e+00 1e-99 1.934922e+00 1e-99 1e-99
4.750e+08 1.930039e+00 1e-99 2.216166e+00 1e-99 1e-99
5.250e+08 2.160161e+00 1e-99 2.468561e+00 1e-99 1e-99
5.750e+08 2.362074e+00 1e-99 2.659264e+00 1e-99 1e-99
6.250e+08 2.488776e+00 1e-99 2.744961e+00 1e-99 1e-99
6.750e+08 2.488837e+00 1e-99 2.684145e+00 1e-99 1e-99
7.250e+08 2.214933e+00 1e-99 2.368341e+00 1e-99 1e-99
